"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","neoscrib.culture.gouv.fr/92.103.206.104","443","INFO","HTTP","",""
"pre_128cipher","neoscrib.culture.gouv.fr/92.103.206.104","443","INFO","No 128 cipher limit bug","",""
"SSLv2","neoscrib.culture.gouv.fr/92.103.206.104","443","OK","not offered","",""
"SSLv3","neoscrib.culture.gouv.fr/92.103.206.104","443","OK","not offered","",""
"TLS1","neoscrib.culture.gouv.fr/92.103.206.104","443","INFO","not offered","",""
"TLS1_1","neoscrib.culture.gouv.fr/92.103.206.104","443","INFO","not offered","",""
"TLS1_2","neoscrib.culture.gouv.fr/92.103.206.104","443","OK","offered","",""
"TLS1_3","neoscrib.culture.gouv.fr/92.103.206.104","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN_HTTP2","neoscrib.culture.gouv.fr/92.103.206.104","443","OK","h2","",""
"ALPN","neoscrib.culture.gouv.fr/92.103.206.104","443","INFO","http/1.1","",""
"cipherlist_NULL","neoscrib.culture.gouv.fr/92.103.206.104","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","neoscrib.culture.gouv.fr/92.103.206.104","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","neoscrib.culture.gouv.fr/92.103.206.104","443","OK","not offered","","CWE-327"
"cipherlist_LOW","neoscrib.culture.gouv.fr/92.103.206.104","443","HIGH","offered","","CWE-327"
"cipherlist_3DES_IDEA","neoscrib.culture.gouv.fr/92.103.206.104","443","MEDIUM","offered","","CWE-310"
"cipherlist_OBSOLETED","neoscrib.culture.gouv.fr/92.103.206.104","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","neoscrib.culture.gouv.fr/92.103.206.104","443","OK","offered","",""
"cipherlist_STRONG_FS","neoscrib.culture.gouv.fr/92.103.206.104","443","OK","offered","",""
"cipher_order-tls1_2","neoscrib.culture.gouv.fr/92.103.206.104","443","OK","server","",""
"cipherorder_TLSv1_2","neoscrib.culture.gouv.fr/92.103.206.104","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","neoscrib.culture.gouv.fr/92.103.206.104","443","OK","server","",""
"FS","neoscrib.culture.gouv.fr/92.103.206.104","443","OK","offered","",""
"FS_ciphers","neoscrib.culture.gouv.fr/92.103.206.104","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_KEMs","neoscrib.culture.gouv.fr/92.103.206.104","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","neoscrib.culture.gouv.fr/92.103.206.104","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","neoscrib.culture.gouv.fr/92.103.206.104","443","INFO","'server name/#0' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'renegotiation info/#65281'","",""
"TLS_session_ticket","neoscrib.culture.gouv.fr/92.103.206.104","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","neoscrib.culture.gouv.fr/92.103.206.104","443","INFO","yes","",""
"sessionresumption_ticket","neoscrib.culture.gouv.fr/92.103.206.104","443","INFO","not supported","",""
"sessionresumption_ID","neoscrib.culture.gouv.fr/92.103.206.104","443","INFO","not supported","",""
"TLS_timestamp","neoscrib.culture.gouv.fr/92.103.206.104","443","INFO","off by -10 seconds from your localtime","",""
"cert_compression","neoscrib.culture.gouv.fr/92.103.206.104","443","INFO","N/A","",""
"clientAuth","neoscrib.culture.gouv.fr/92.103.206.104","443","INFO","none","",""
"cert_numbers","neoscrib.culture.gouv.fr/92.103.206.104","443","INFO","1","",""
"cert_signatureAlgorithm","neoscrib.culture.gouv.fr/92.103.206.104","443","OK","SHA256 with RSA","",""
"cert_keySize","neoscrib.culture.gouv.fr/92.103.206.104","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","neoscrib.culture.gouv.fr/92.103.206.104","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","neoscrib.culture.gouv.fr/92.103.206.104","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","neoscrib.culture.gouv.fr/92.103.206.104","443","INFO","05557749B8E08D03D4DCC9D5B6485CF7A09B","",""
"cert_serialNumberLen","neoscrib.culture.gouv.fr/92.103.206.104","443","INFO","18","",""
"cert_fingerprintSHA1","neoscrib.culture.gouv.fr/92.103.206.104","443","INFO","F58C3733583954468CBBB4D2C1AE4A212DFAC931","",""
"cert_fingerprintSHA256","neoscrib.culture.gouv.fr/92.103.206.104","443","INFO","60F254A8BF9E3E213AC7D7820ED15D410AFD09ACFC2B6AFA114980EB6F5C6C26","",""
