"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","chateaudecompiegne.fr/87.252.7.122","443","INFO","HTTP","",""
"pre_128cipher","chateaudecompiegne.fr/87.252.7.122","443","INFO","No 128 cipher limit bug","",""
"SSLv2","chateaudecompiegne.fr/87.252.7.122","443","OK","not offered","",""
"SSLv3","chateaudecompiegne.fr/87.252.7.122","443","OK","not offered","",""
"TLS1","chateaudecompiegne.fr/87.252.7.122","443","INFO","not offered","",""
"TLS1_1","chateaudecompiegne.fr/87.252.7.122","443","INFO","not offered","",""
"TLS1_2","chateaudecompiegne.fr/87.252.7.122","443","OK","offered","",""
"TLS1_3","chateaudecompiegne.fr/87.252.7.122","443","OK","offered with final","",""
"ALPN_HTTP2","chateaudecompiegne.fr/87.252.7.122","443","OK","h2","",""
"ALPN","chateaudecompiegne.fr/87.252.7.122","443","INFO","http/1.1","",""
"cipherlist_NULL","chateaudecompiegne.fr/87.252.7.122","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","chateaudecompiegne.fr/87.252.7.122","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","chateaudecompiegne.fr/87.252.7.122","443","OK","not offered","","CWE-327"
"cipherlist_LOW","chateaudecompiegne.fr/87.252.7.122","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","chateaudecompiegne.fr/87.252.7.122","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","chateaudecompiegne.fr/87.252.7.122","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","chateaudecompiegne.fr/87.252.7.122","443","INFO","not offered","",""
"cipherlist_STRONG_FS","chateaudecompiegne.fr/87.252.7.122","443","OK","offered","",""
"cipher_order-tls1_2","chateaudecompiegne.fr/87.252.7.122","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","chateaudecompiegne.fr/87.252.7.122","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","chateaudecompiegne.fr/87.252.7.122","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","chateaudecompiegne.fr/87.252.7.122","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9e","chateaudecompiegne.fr/87.252.7.122","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","chateaudecompiegne.fr/87.252.7.122","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","chateaudecompiegne.fr/87.252.7.122","443","INFO","NOT a cipher order configured","",""
"FS","chateaudecompiegne.fr/87.252.7.122","443","OK","offered","",""
"FS_ciphers","chateaudecompiegne.fr/87.252.7.122","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","chateaudecompiegne.fr/87.252.7.122","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","chateaudecompiegne.fr/87.252.7.122","443","INFO","'server name/#0' 'supported_groups/#10' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
