"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","histoiredesarts.culture.gouv.fr/143.126.211.8","443","INFO","HTTP","",""
"pre_128cipher","histoiredesarts.culture.gouv.fr/143.126.211.8","443","INFO","No 128 cipher limit bug","",""
"SSLv2","histoiredesarts.culture.gouv.fr/143.126.211.8","443","OK","not offered","",""
"SSLv3","histoiredesarts.culture.gouv.fr/143.126.211.8","443","OK","not offered","",""
"TLS1","histoiredesarts.culture.gouv.fr/143.126.211.8","443","INFO","not offered","",""
"TLS1_1","histoiredesarts.culture.gouv.fr/143.126.211.8","443","INFO","not offered","",""
"TLS1_2","histoiredesarts.culture.gouv.fr/143.126.211.8","443","OK","offered","",""
"TLS1_3","histoiredesarts.culture.gouv.fr/143.126.211.8","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN_HTTP2","histoiredesarts.culture.gouv.fr/143.126.211.8","443","OK","h2","",""
"ALPN","histoiredesarts.culture.gouv.fr/143.126.211.8","443","INFO","http/1.1","",""
"cipherlist_NULL","histoiredesarts.culture.gouv.fr/143.126.211.8","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","histoiredesarts.culture.gouv.fr/143.126.211.8","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","histoiredesarts.culture.gouv.fr/143.126.211.8","443","OK","not offered","","CWE-327"
"cipherlist_LOW","histoiredesarts.culture.gouv.fr/143.126.211.8","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","histoiredesarts.culture.gouv.fr/143.126.211.8","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","histoiredesarts.culture.gouv.fr/143.126.211.8","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","histoiredesarts.culture.gouv.fr/143.126.211.8","443","INFO","not offered","",""
"cipherlist_STRONG_FS","histoiredesarts.culture.gouv.fr/143.126.211.8","443","OK","offered","",""
"cipher_order-tls1_2","histoiredesarts.culture.gouv.fr/143.126.211.8","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","histoiredesarts.culture.gouv.fr/143.126.211.8","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","histoiredesarts.culture.gouv.fr/143.126.211.8","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","histoiredesarts.culture.gouv.fr/143.126.211.8","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9e","histoiredesarts.culture.gouv.fr/143.126.211.8","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","histoiredesarts.culture.gouv.fr/143.126.211.8","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","histoiredesarts.culture.gouv.fr/143.126.211.8","443","INFO","NOT a cipher order configured","",""
