"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","oscar.culture.fr/143.126.211.103","443","INFO","HTTP","",""
"pre_128cipher","oscar.culture.fr/143.126.211.103","443","INFO","No 128 cipher limit bug","",""
"SSLv2","oscar.culture.fr/143.126.211.103","443","OK","not offered","",""
"SSLv3","oscar.culture.fr/143.126.211.103","443","OK","not offered","",""
"TLS1","oscar.culture.fr/143.126.211.103","443","INFO","not offered","",""
"TLS1_1","oscar.culture.fr/143.126.211.103","443","INFO","not offered","",""
"TLS1_2","oscar.culture.fr/143.126.211.103","443","OK","offered","",""
"TLS1_3","oscar.culture.fr/143.126.211.103","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","oscar.culture.fr/143.126.211.103","443","INFO","not offered","",""
"cipherlist_NULL","oscar.culture.fr/143.126.211.103","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","oscar.culture.fr/143.126.211.103","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","oscar.culture.fr/143.126.211.103","443","OK","not offered","","CWE-327"
"cipherlist_LOW","oscar.culture.fr/143.126.211.103","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","oscar.culture.fr/143.126.211.103","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","oscar.culture.fr/143.126.211.103","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","oscar.culture.fr/143.126.211.103","443","INFO","not offered","",""
"cipherlist_STRONG_FS","oscar.culture.fr/143.126.211.103","443","OK","offered","",""
"cipher_order-tls1_2","oscar.culture.fr/143.126.211.103","443","OK","server","",""
"cipherorder_TLSv1_2","oscar.culture.fr/143.126.211.103","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","oscar.culture.fr/143.126.211.103","443","OK","server","",""
"FS","oscar.culture.fr/143.126.211.103","443","OK","offered","",""
"FS_ciphers","oscar.culture.fr/143.126.211.103","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_KEMs","oscar.culture.fr/143.126.211.103","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","oscar.culture.fr/143.126.211.103","443","OK","secp256k1 prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","oscar.culture.fr/143.126.211.103","443","INFO","'server name/#0' 'EC point formats/#11' 'heartbeat/#15' 'session ticket/#35' 'renegotiation info/#65281'","",""
"TLS_session_ticket","oscar.culture.fr/143.126.211.103","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","oscar.culture.fr/143.126.211.103","443","INFO","yes","",""
"sessionresumption_ticket","oscar.culture.fr/143.126.211.103","443","INFO","supported","",""
"sessionresumption_ID","oscar.culture.fr/143.126.211.103","443","INFO","supported","",""
"TLS_timestamp","oscar.culture.fr/143.126.211.103","443","INFO","random","",""
"cert_compression","oscar.culture.fr/143.126.211.103","443","INFO","N/A","",""
"clientAuth","oscar.culture.fr/143.126.211.103","443","INFO","none","",""
"cert_numbers","oscar.culture.fr/143.126.211.103","443","INFO","1","",""
"cert_signatureAlgorithm","oscar.culture.fr/143.126.211.103","443","OK","SHA256 with RSA","",""
"cert_keySize","oscar.culture.fr/143.126.211.103","443","OK","RSA 4096 bits (exponent is 65537)","",""
"cert_keyUsage","oscar.culture.fr/143.126.211.103","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","oscar.culture.fr/143.126.211.103","443","INFO","TLS Web Client Authentication, TLS Web Server Authentication","",""
"cert_serialNumber","oscar.culture.fr/143.126.211.103","443","INFO","5749AEAE27409E86B895BBFA008565C1","",""
"cert_serialNumberLen","oscar.culture.fr/143.126.211.103","443","INFO","16","",""
"cert_fingerprintSHA1","oscar.culture.fr/143.126.211.103","443","INFO","C3582F0CB8A3C93DC241BDAB65316B0E3D517A6D","",""
"cert_fingerprintSHA256","oscar.culture.fr/143.126.211.103","443","INFO","76FB95E6B61ECB4BF607AF64604ACCF422B2898D767D127E17510A6B5D735790","",""
