"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","ccbmn.culture.gouv.fr/87.98.187.73","443","INFO","HTTP","",""
"pre_128cipher","ccbmn.culture.gouv.fr/87.98.187.73","443","INFO","No 128 cipher limit bug","",""
"SSLv2","ccbmn.culture.gouv.fr/87.98.187.73","443","OK","not offered","",""
"SSLv3","ccbmn.culture.gouv.fr/87.98.187.73","443","OK","not offered","",""
"TLS1","ccbmn.culture.gouv.fr/87.98.187.73","443","INFO","not offered","",""
"TLS1_1","ccbmn.culture.gouv.fr/87.98.187.73","443","INFO","not offered","",""
"TLS1_2","ccbmn.culture.gouv.fr/87.98.187.73","443","OK","offered","",""
"TLS1_3","ccbmn.culture.gouv.fr/87.98.187.73","443","OK","offered with final","",""
"ALPN_HTTP2","ccbmn.culture.gouv.fr/87.98.187.73","443","OK","h2","",""
"cipherlist_NULL","ccbmn.culture.gouv.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","ccbmn.culture.gouv.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","ccbmn.culture.gouv.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_LOW","ccbmn.culture.gouv.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","ccbmn.culture.gouv.fr/87.98.187.73","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","ccbmn.culture.gouv.fr/87.98.187.73","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","ccbmn.culture.gouv.fr/87.98.187.73","443","INFO","not offered","",""
"cipherlist_STRONG_FS","ccbmn.culture.gouv.fr/87.98.187.73","443","OK","offered","",""
"cipher_order-tls1_2","ccbmn.culture.gouv.fr/87.98.187.73","443","OK","server","",""
"cipherorder_TLSv1_2","ccbmn.culture.gouv.fr/87.98.187.73","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","ccbmn.culture.gouv.fr/87.98.187.73","443","OK","server -- TLS 1.3 client determined","",""
"FS","ccbmn.culture.gouv.fr/87.98.187.73","443","OK","offered","",""
"FS_ciphers","ccbmn.culture.gouv.fr/87.98.187.73","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","ccbmn.culture.gouv.fr/87.98.187.73","443","OK","prime256v1","",""
"TLS_extensions","ccbmn.culture.gouv.fr/87.98.187.73","443","INFO","'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","ccbmn.culture.gouv.fr/87.98.187.73","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","ccbmn.culture.gouv.fr/87.98.187.73","443","INFO","no","",""
"sessionresumption_ticket","ccbmn.culture.gouv.fr/87.98.187.73","443","INFO","not supported","",""
"sessionresumption_ID","ccbmn.culture.gouv.fr/87.98.187.73","443","INFO","No Session ID, no resumption","",""
"TLS_timestamp","ccbmn.culture.gouv.fr/87.98.187.73","443","INFO","random","",""
"certificate_compression","ccbmn.culture.gouv.fr/87.98.187.73","443","INFO","none","",""
"clientAuth","ccbmn.culture.gouv.fr/87.98.187.73","443","INFO","none","",""
"cert_numbers","ccbmn.culture.gouv.fr/87.98.187.73","443","INFO","1","",""
"cert_signatureAlgorithm","ccbmn.culture.gouv.fr/87.98.187.73","443","OK","SHA256 with RSA","",""
"cert_keySize","ccbmn.culture.gouv.fr/87.98.187.73","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","ccbmn.culture.gouv.fr/87.98.187.73","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","ccbmn.culture.gouv.fr/87.98.187.73","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","ccbmn.culture.gouv.fr/87.98.187.73","443","INFO","E927F676C271EECC59275808D5F0D94A","",""
