"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.museedesplansreliefs.culture.fr/143.126.211.82","443","INFO","HTTP","",""
"pre_128cipher","www.museedesplansreliefs.culture.fr/143.126.211.82","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.museedesplansreliefs.culture.fr/143.126.211.82","443","OK","not offered","",""
"SSLv3","www.museedesplansreliefs.culture.fr/143.126.211.82","443","OK","not offered","",""
"TLS1","www.museedesplansreliefs.culture.fr/143.126.211.82","443","LOW","offered (deprecated)","",""
"TLS1_1","www.museedesplansreliefs.culture.fr/143.126.211.82","443","LOW","offered (deprecated)","",""
"TLS1_2","www.museedesplansreliefs.culture.fr/143.126.211.82","443","OK","offered","",""
"TLS1_3","www.museedesplansreliefs.culture.fr/143.126.211.82","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","www.museedesplansreliefs.culture.fr/143.126.211.82","443","INFO","not offered","",""
"cipherlist_NULL","www.museedesplansreliefs.culture.fr/143.126.211.82","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.museedesplansreliefs.culture.fr/143.126.211.82","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.museedesplansreliefs.culture.fr/143.126.211.82","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.museedesplansreliefs.culture.fr/143.126.211.82","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.museedesplansreliefs.culture.fr/143.126.211.82","443","MEDIUM","offered","","CWE-310"
"cipherlist_OBSOLETED","www.museedesplansreliefs.culture.fr/143.126.211.82","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.museedesplansreliefs.culture.fr/143.126.211.82","443","OK","offered","",""
"cipherlist_STRONG_FS","www.museedesplansreliefs.culture.fr/143.126.211.82","443","OK","offered","",""
"cipher_order-tls1","www.museedesplansreliefs.culture.fr/143.126.211.82","443","OK","server","",""
"cipherorder_TLSv1","www.museedesplansreliefs.culture.fr/143.126.211.82","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipher_order-tls1_1","www.museedesplansreliefs.culture.fr/143.126.211.82","443","OK","server","",""
"cipherorder_TLSv1_1","www.museedesplansreliefs.culture.fr/143.126.211.82","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipher_order-tls1_2","www.museedesplansreliefs.culture.fr/143.126.211.82","443","OK","server","",""
"cipherorder_TLSv1_2","www.museedesplansreliefs.culture.fr/143.126.211.82","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.museedesplansreliefs.culture.fr/143.126.211.82","443","OK","server","",""
"FS","www.museedesplansreliefs.culture.fr/143.126.211.82","443","OK","offered","",""
"FS_ciphers","www.museedesplansreliefs.culture.fr/143.126.211.82","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","www.museedesplansreliefs.culture.fr/143.126.211.82","443","OK","secp256k1 prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.museedesplansreliefs.culture.fr/143.126.211.82","443","INFO","'server name/#0' 'EC point formats/#11' 'heartbeat/#15' 'session ticket/#35' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.museedesplansreliefs.culture.fr/143.126.211.82","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","www.museedesplansreliefs.culture.fr/143.126.211.82","443","INFO","yes","",""
"sessionresumption_ticket","www.museedesplansreliefs.culture.fr/143.126.211.82","443","INFO","supported","",""
"sessionresumption_ID","www.museedesplansreliefs.culture.fr/143.126.211.82","443","INFO","supported","",""
"TLS_timestamp","www.museedesplansreliefs.culture.fr/143.126.211.82","443","INFO","random","",""
"cert_compression","www.museedesplansreliefs.culture.fr/143.126.211.82","443","INFO","N/A","",""
