"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","sibil.culture.gouv.fr/87.98.187.73","443","INFO","HTTP","",""
"pre_128cipher","sibil.culture.gouv.fr/87.98.187.73","443","INFO","No 128 cipher limit bug","",""
"SSLv2","sibil.culture.gouv.fr/87.98.187.73","443","OK","not offered","",""
"SSLv3","sibil.culture.gouv.fr/87.98.187.73","443","OK","not offered","",""
"TLS1","sibil.culture.gouv.fr/87.98.187.73","443","INFO","not offered","",""
"TLS1_1","sibil.culture.gouv.fr/87.98.187.73","443","INFO","not offered","",""
"TLS1_2","sibil.culture.gouv.fr/87.98.187.73","443","OK","offered","",""
"TLS1_3","sibil.culture.gouv.fr/87.98.187.73","443","OK","offered with final","",""
"ALPN_HTTP2","sibil.culture.gouv.fr/87.98.187.73","443","OK","h2","",""
"cipherlist_NULL","sibil.culture.gouv.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","sibil.culture.gouv.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","sibil.culture.gouv.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_LOW","sibil.culture.gouv.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","sibil.culture.gouv.fr/87.98.187.73","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","sibil.culture.gouv.fr/87.98.187.73","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","sibil.culture.gouv.fr/87.98.187.73","443","INFO","not offered","",""
"cipherlist_STRONG_FS","sibil.culture.gouv.fr/87.98.187.73","443","OK","offered","",""
"cipher_order-tls1_2","sibil.culture.gouv.fr/87.98.187.73","443","OK","server","",""
"cipherorder_TLSv1_2","sibil.culture.gouv.fr/87.98.187.73","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","sibil.culture.gouv.fr/87.98.187.73","443","OK","server -- TLS 1.3 client determined","",""
"FS","sibil.culture.gouv.fr/87.98.187.73","443","OK","offered","",""
"FS_ciphers","sibil.culture.gouv.fr/87.98.187.73","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","sibil.culture.gouv.fr/87.98.187.73","443","OK","prime256v1","",""
"TLS_extensions","sibil.culture.gouv.fr/87.98.187.73","443","INFO","'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","sibil.culture.gouv.fr/87.98.187.73","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","sibil.culture.gouv.fr/87.98.187.73","443","INFO","no","",""
"sessionresumption_ticket","sibil.culture.gouv.fr/87.98.187.73","443","INFO","not supported","",""
"sessionresumption_ID","sibil.culture.gouv.fr/87.98.187.73","443","INFO","No Session ID, no resumption","",""
"TLS_timestamp","sibil.culture.gouv.fr/87.98.187.73","443","INFO","random","",""
"certificate_compression","sibil.culture.gouv.fr/87.98.187.73","443","INFO","none","",""
"clientAuth","sibil.culture.gouv.fr/87.98.187.73","443","INFO","none","",""
"cert_numbers","sibil.culture.gouv.fr/87.98.187.73","443","INFO","1","",""
"cert_signatureAlgorithm","sibil.culture.gouv.fr/87.98.187.73","443","OK","SHA256 with RSA","",""
"cert_keySize","sibil.culture.gouv.fr/87.98.187.73","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","sibil.culture.gouv.fr/87.98.187.73","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","sibil.culture.gouv.fr/87.98.187.73","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","sibil.culture.gouv.fr/87.98.187.73","443","INFO","AE027E606832DD4E2FD8CA19AB23E3E1","",""
"cert_serialNumberLen","sibil.culture.gouv.fr/87.98.187.73","443","INFO","16","",""
"cert_fingerprintSHA1","sibil.culture.gouv.fr/87.98.187.73","443","INFO","D05624E66A4CC5929FAC2CA2459F8B15F6504E00","",""
"cert_fingerprintSHA256","sibil.culture.gouv.fr/87.98.187.73","443","INFO","5B8F9ACD59BA230988676D5B528D96FB1B9A1495B4BD481796EA7A92E3A1A482","",""
