"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","francearchives.gouv.fr/87.98.187.73","443","INFO","HTTP","",""
"pre_128cipher","francearchives.gouv.fr/87.98.187.73","443","INFO","No 128 cipher limit bug","",""
"SSLv2","francearchives.gouv.fr/87.98.187.73","443","OK","not offered","",""
"SSLv3","francearchives.gouv.fr/87.98.187.73","443","OK","not offered","",""
"TLS1","francearchives.gouv.fr/87.98.187.73","443","INFO","not offered","",""
"TLS1_1","francearchives.gouv.fr/87.98.187.73","443","INFO","not offered","",""
"TLS1_2","francearchives.gouv.fr/87.98.187.73","443","OK","offered","",""
"TLS1_3","francearchives.gouv.fr/87.98.187.73","443","OK","offered with final","",""
"ALPN_HTTP2","francearchives.gouv.fr/87.98.187.73","443","OK","h2","",""
"cipherlist_NULL","francearchives.gouv.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","francearchives.gouv.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","francearchives.gouv.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_LOW","francearchives.gouv.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","francearchives.gouv.fr/87.98.187.73","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","francearchives.gouv.fr/87.98.187.73","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","francearchives.gouv.fr/87.98.187.73","443","INFO","not offered","",""
"cipherlist_STRONG_FS","francearchives.gouv.fr/87.98.187.73","443","OK","offered","",""
"cipher_order-tls1_2","francearchives.gouv.fr/87.98.187.73","443","OK","server","",""
"cipherorder_TLSv1_2","francearchives.gouv.fr/87.98.187.73","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","francearchives.gouv.fr/87.98.187.73","443","OK","server -- TLS 1.3 client determined","",""
"FS","francearchives.gouv.fr/87.98.187.73","443","OK","offered","",""
"FS_ciphers","francearchives.gouv.fr/87.98.187.73","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"FS_KEMs","francearchives.gouv.fr/87.98.187.73","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","francearchives.gouv.fr/87.98.187.73","443","OK","prime256v1","",""
"TLS_extensions","francearchives.gouv.fr/87.98.187.73","443","INFO","'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","francearchives.gouv.fr/87.98.187.73","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","francearchives.gouv.fr/87.98.187.73","443","INFO","no","",""
"sessionresumption_ticket","francearchives.gouv.fr/87.98.187.73","443","INFO","not supported","",""
"sessionresumption_ID","francearchives.gouv.fr/87.98.187.73","443","INFO","No Session ID, no resumption","",""
"TLS_timestamp","francearchives.gouv.fr/87.98.187.73","443","INFO","random","",""
"certificate_compression","francearchives.gouv.fr/87.98.187.73","443","INFO","none","",""
"clientAuth","francearchives.gouv.fr/87.98.187.73","443","INFO","none","",""
"cert_numbers","francearchives.gouv.fr/87.98.187.73","443","INFO","1","",""
"cert_signatureAlgorithm","francearchives.gouv.fr/87.98.187.73","443","OK","ECDSA with SHA384","",""
"cert_keySize","francearchives.gouv.fr/87.98.187.73","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","francearchives.gouv.fr/87.98.187.73","443","INFO","Digital Signature","",""
"cert_extKeyUsage","francearchives.gouv.fr/87.98.187.73","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","francearchives.gouv.fr/87.98.187.73","443","INFO","05ECA3199B5C16835E6B5D2A6D951C1E4DCE","",""
"cert_serialNumberLen","francearchives.gouv.fr/87.98.187.73","443","INFO","18","",""
"cert_fingerprintSHA1","francearchives.gouv.fr/87.98.187.73","443","INFO","15DAC1D7ECAFEC159585594FFA6E807B36807723","",""
"cert_fingerprintSHA256","francearchives.gouv.fr/87.98.187.73","443","INFO","94566AC659C5A735A29B11E04D8B5905EBD1CE0C8D24C8522B1FEDE8ADC533F8","",""
