"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","etats-generaux-information.fr/143.126.211.113","443","INFO","HTTP","",""
"pre_128cipher","etats-generaux-information.fr/143.126.211.113","443","INFO","No 128 cipher limit bug","",""
"SSLv2","etats-generaux-information.fr/143.126.211.113","443","OK","not offered","",""
"SSLv3","etats-generaux-information.fr/143.126.211.113","443","OK","not offered","",""
"TLS1","etats-generaux-information.fr/143.126.211.113","443","INFO","not offered","",""
"TLS1_1","etats-generaux-information.fr/143.126.211.113","443","INFO","not offered","",""
"TLS1_2","etats-generaux-information.fr/143.126.211.113","443","OK","offered","",""
"TLS1_3","etats-generaux-information.fr/143.126.211.113","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","etats-generaux-information.fr/143.126.211.113","443","INFO","not offered","",""
"cipherlist_NULL","etats-generaux-information.fr/143.126.211.113","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","etats-generaux-information.fr/143.126.211.113","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","etats-generaux-information.fr/143.126.211.113","443","OK","not offered","","CWE-327"
"cipherlist_LOW","etats-generaux-information.fr/143.126.211.113","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","etats-generaux-information.fr/143.126.211.113","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","etats-generaux-information.fr/143.126.211.113","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","etats-generaux-information.fr/143.126.211.113","443","INFO","not offered","",""
"cipherlist_STRONG_FS","etats-generaux-information.fr/143.126.211.113","443","OK","offered","",""
"cipher_order-tls1_2","etats-generaux-information.fr/143.126.211.113","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","etats-generaux-information.fr/143.126.211.113","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 256   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","etats-generaux-information.fr/143.126.211.113","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","etats-generaux-information.fr/143.126.211.113","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9e","etats-generaux-information.fr/143.126.211.113","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","etats-generaux-information.fr/143.126.211.113","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
