"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","archives-nationales-outre-mer.culture.gouv.fr/87.98.187.73","443","INFO","HTTP","",""
"pre_128cipher","archives-nationales-outre-mer.culture.gouv.fr/87.98.187.73","443","INFO","No 128 cipher limit bug","",""
"SSLv2","archives-nationales-outre-mer.culture.gouv.fr/87.98.187.73","443","OK","not offered","",""
"SSLv3","archives-nationales-outre-mer.culture.gouv.fr/87.98.187.73","443","OK","not offered","",""
"TLS1","archives-nationales-outre-mer.culture.gouv.fr/87.98.187.73","443","INFO","not offered","",""
"TLS1_1","archives-nationales-outre-mer.culture.gouv.fr/87.98.187.73","443","INFO","not offered","",""
"TLS1_2","archives-nationales-outre-mer.culture.gouv.fr/87.98.187.73","443","OK","offered","",""
"TLS1_3","archives-nationales-outre-mer.culture.gouv.fr/87.98.187.73","443","OK","offered with final","",""
"ALPN_HTTP2","archives-nationales-outre-mer.culture.gouv.fr/87.98.187.73","443","OK","h2","",""
"cipherlist_NULL","archives-nationales-outre-mer.culture.gouv.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","archives-nationales-outre-mer.culture.gouv.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","archives-nationales-outre-mer.culture.gouv.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_LOW","archives-nationales-outre-mer.culture.gouv.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","archives-nationales-outre-mer.culture.gouv.fr/87.98.187.73","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","archives-nationales-outre-mer.culture.gouv.fr/87.98.187.73","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","archives-nationales-outre-mer.culture.gouv.fr/87.98.187.73","443","INFO","not offered","",""
"cipherlist_STRONG_FS","archives-nationales-outre-mer.culture.gouv.fr/87.98.187.73","443","OK","offered","",""
"cipher_order-tls1_2","archives-nationales-outre-mer.culture.gouv.fr/87.98.187.73","443","OK","server","",""
"cipherorder_TLSv1_2","archives-nationales-outre-mer.culture.gouv.fr/87.98.187.73","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","archives-nationales-outre-mer.culture.gouv.fr/87.98.187.73","443","OK","server -- TLS 1.3 client determined","",""
"FS","archives-nationales-outre-mer.culture.gouv.fr/87.98.187.73","443","OK","offered","",""
"FS_ciphers","archives-nationales-outre-mer.culture.gouv.fr/87.98.187.73","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"FS_KEMs","archives-nationales-outre-mer.culture.gouv.fr/87.98.187.73","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","archives-nationales-outre-mer.culture.gouv.fr/87.98.187.73","443","OK","prime256v1","",""
"TLS_extensions","archives-nationales-outre-mer.culture.gouv.fr/87.98.187.73","443","INFO","'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","archives-nationales-outre-mer.culture.gouv.fr/87.98.187.73","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","archives-nationales-outre-mer.culture.gouv.fr/87.98.187.73","443","INFO","no","",""
"sessionresumption_ticket","archives-nationales-outre-mer.culture.gouv.fr/87.98.187.73","443","INFO","not supported","",""
"sessionresumption_ID","archives-nationales-outre-mer.culture.gouv.fr/87.98.187.73","443","INFO","No Session ID, no resumption","",""
"TLS_timestamp","archives-nationales-outre-mer.culture.gouv.fr/87.98.187.73","443","INFO","random","",""
"certificate_compression","archives-nationales-outre-mer.culture.gouv.fr/87.98.187.73","443","INFO","none","",""
"clientAuth","archives-nationales-outre-mer.culture.gouv.fr/87.98.187.73","443","INFO","none","",""
"cert_numbers","archives-nationales-outre-mer.culture.gouv.fr/87.98.187.73","443","INFO","1","",""
"cert_signatureAlgorithm","archives-nationales-outre-mer.culture.gouv.fr/87.98.187.73","443","OK","ECDSA with SHA384","",""
"cert_keySize","archives-nationales-outre-mer.culture.gouv.fr/87.98.187.73","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","archives-nationales-outre-mer.culture.gouv.fr/87.98.187.73","443","INFO","Digital Signature","",""
"cert_extKeyUsage","archives-nationales-outre-mer.culture.gouv.fr/87.98.187.73","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","archives-nationales-outre-mer.culture.gouv.fr/87.98.187.73","443","INFO","05A40F9D76A047FFA28E24B016D8049CFAE1","",""
"cert_serialNumberLen","archives-nationales-outre-mer.culture.gouv.fr/87.98.187.73","443","INFO","18","",""
"cert_fingerprintSHA1","archives-nationales-outre-mer.culture.gouv.fr/87.98.187.73","443","INFO","69E14E05C8CBE4E2EF0E5E0A5E793A0A3A353A7A","",""
"cert_fingerprintSHA256","archives-nationales-outre-mer.culture.gouv.fr/87.98.187.73","443","INFO","8AA45F58D776E063F68F0526B01B9D63F80AEDF50B441D5C79B7FEC51E803EA9","",""
