"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","pci-lab.fr/134.158.38.60","443","INFO","HTTP","",""
"pre_128cipher","pci-lab.fr/134.158.38.60","443","INFO","No 128 cipher limit bug","",""
"SSLv2","pci-lab.fr/134.158.38.60","443","OK","not offered","",""
"SSLv3","pci-lab.fr/134.158.38.60","443","OK","not offered","",""
"TLS1","pci-lab.fr/134.158.38.60","443","INFO","not offered","",""
"TLS1_1","pci-lab.fr/134.158.38.60","443","INFO","not offered","",""
"TLS1_2","pci-lab.fr/134.158.38.60","443","OK","offered","",""
"TLS1_3","pci-lab.fr/134.158.38.60","443","OK","offered with final","",""
"ALPN","pci-lab.fr/134.158.38.60","443","INFO","http/1.1","",""
"cipherlist_NULL","pci-lab.fr/134.158.38.60","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","pci-lab.fr/134.158.38.60","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","pci-lab.fr/134.158.38.60","443","OK","not offered","","CWE-327"
"cipherlist_LOW","pci-lab.fr/134.158.38.60","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","pci-lab.fr/134.158.38.60","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","pci-lab.fr/134.158.38.60","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","pci-lab.fr/134.158.38.60","443","INFO","not offered","",""
"cipherlist_STRONG_FS","pci-lab.fr/134.158.38.60","443","OK","offered","",""
"cipher_order-tls1_2","pci-lab.fr/134.158.38.60","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","pci-lab.fr/134.158.38.60","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","pci-lab.fr/134.158.38.60","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","pci-lab.fr/134.158.38.60","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9e","pci-lab.fr/134.158.38.60","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","pci-lab.fr/134.158.38.60","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","pci-lab.fr/134.158.38.60","443","INFO","NOT a cipher order configured","",""
"FS","pci-lab.fr/134.158.38.60","443","OK","offered","",""
"FS_ciphers","pci-lab.fr/134.158.38.60","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","pci-lab.fr/134.158.38.60","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","pci-lab.fr/134.158.38.60","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","pci-lab.fr/134.158.38.60","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","pci-lab.fr/134.158.38.60","443","INFO","yes","",""
"sessionresumption_ticket","pci-lab.fr/134.158.38.60","443","INFO","not supported","",""
"sessionresumption_ID","pci-lab.fr/134.158.38.60","443","INFO","supported","",""
"TLS_timestamp","pci-lab.fr/134.158.38.60","443","INFO","random","",""
"certificate_compression","pci-lab.fr/134.158.38.60","443","INFO","none","",""
"clientAuth","pci-lab.fr/134.158.38.60","443","INFO","none","",""
"cert_numbers","pci-lab.fr/134.158.38.60","443","INFO","1","",""
"cert_signatureAlgorithm","pci-lab.fr/134.158.38.60","443","OK","SHA256 with RSA","",""
"cert_keySize","pci-lab.fr/134.158.38.60","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","pci-lab.fr/134.158.38.60","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","pci-lab.fr/134.158.38.60","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","pci-lab.fr/134.158.38.60","443","INFO","0587787EA6C59667AED9AC294B29058B574C","",""
"cert_serialNumberLen","pci-lab.fr/134.158.38.60","443","INFO","18","",""
"cert_fingerprintSHA1","pci-lab.fr/134.158.38.60","443","INFO","1381395471070C4CD6FACDEDE51D35766F12AE56","",""
"cert_fingerprintSHA256","pci-lab.fr/134.158.38.60","443","INFO","0ACA3E352423E3D888929BA43A88BFFEF996349AEF96A61520D26541B31AD2D2","",""
