"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","pmb.culture.fr/87.98.187.73","443","INFO","HTTP","",""
"pre_128cipher","pmb.culture.fr/87.98.187.73","443","INFO","No 128 cipher limit bug","",""
"SSLv2","pmb.culture.fr/87.98.187.73","443","OK","not offered","",""
"SSLv3","pmb.culture.fr/87.98.187.73","443","OK","not offered","",""
"TLS1","pmb.culture.fr/87.98.187.73","443","INFO","not offered","",""
"TLS1_1","pmb.culture.fr/87.98.187.73","443","INFO","not offered","",""
"TLS1_2","pmb.culture.fr/87.98.187.73","443","OK","offered","",""
"TLS1_3","pmb.culture.fr/87.98.187.73","443","OK","offered with final","",""
"ALPN_HTTP2","pmb.culture.fr/87.98.187.73","443","OK","h2","",""
"cipherlist_NULL","pmb.culture.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","pmb.culture.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","pmb.culture.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_LOW","pmb.culture.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","pmb.culture.fr/87.98.187.73","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","pmb.culture.fr/87.98.187.73","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","pmb.culture.fr/87.98.187.73","443","INFO","not offered","",""
"cipherlist_STRONG_FS","pmb.culture.fr/87.98.187.73","443","OK","offered","",""
"cipher_order-tls1_2","pmb.culture.fr/87.98.187.73","443","OK","server","",""
"cipherorder_TLSv1_2","pmb.culture.fr/87.98.187.73","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","pmb.culture.fr/87.98.187.73","443","OK","server -- TLS 1.3 client determined","",""
"FS","pmb.culture.fr/87.98.187.73","443","OK","offered","",""
"FS_ciphers","pmb.culture.fr/87.98.187.73","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"FS_KEMs","pmb.culture.fr/87.98.187.73","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","pmb.culture.fr/87.98.187.73","443","OK","prime256v1","",""
"TLS_extensions","pmb.culture.fr/87.98.187.73","443","INFO","'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","pmb.culture.fr/87.98.187.73","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","pmb.culture.fr/87.98.187.73","443","INFO","no","",""
"sessionresumption_ticket","pmb.culture.fr/87.98.187.73","443","INFO","not supported","",""
"sessionresumption_ID","pmb.culture.fr/87.98.187.73","443","INFO","No Session ID, no resumption","",""
"TLS_timestamp","pmb.culture.fr/87.98.187.73","443","INFO","random","",""
"certificate_compression","pmb.culture.fr/87.98.187.73","443","INFO","none","",""
"clientAuth","pmb.culture.fr/87.98.187.73","443","INFO","none","",""
